#,T% in a parallel beam at AOI 5 deg,,,,
# Wavelength[nm],Location 1,Location 2,Location 3,Location 4,Location 5
900.8 ,0.017195,0.091707,0.005734,0.011472,3.30E-02
900.6 ,0.102116,0.057544,0.063293,0.051858,5.32E-02
900.4 ,0.034671,0.017364,0.057726,0.011568,9.81E-02
900.2 ,0.027588,0.088478,0.146171,0.017414,3.92E-02
900.0 ,0.076989,0.024732,0.08277,0.062361,3.63E-02
899.8 ,0.01749,0.01312,0.005824,0.097833,1.75E-02
899.6 ,0.027872,0.105554,0.074891,0.007338,0.054341
899.4 ,0,7.81E-02,0.017668,0,3.09E-02
899.2 ,9.57E-02,5.31E-02,1.59E-01,0.005904,0.023617
899.0 ,0.005914,1.36E-01,0.157742,0.112278,2.80E-02
898.8 ,5.92E-02,0.004449,0.051751,0.099265,6.97E-02
898.6 ,0.090475,0.00E+00,0.00E+00,0.168081,8.91E-02
898.4 ,0.041687,1.67E-01,0.017846,0.037202,4.31E-02
898.2 ,0.019456,6.74E-02,0.088252,0.02394,1.50E-03
898.0 ,0.053834,1.80E-02,7.18E-02,0.012004,1.09E-01
897.8 ,0.07226,2.55E-02,0.016506,0.024072,1.51E-03
897.6 ,0.048102,0.066185,0.040594,0.079673,7.22E-02
897.4 ,0.08333,0.080304,0.07735,0.072857,2.27E-02
897.2 ,0.018273,0.053289,0.054774,0.06084,1.11E-01
897.0 ,0.093132,0.140363,0.010673,0.02597,5.50E-02
896.8 ,0.085806,0.067308,0.09633,0.071868,7.65E-03
896.6 ,0.029108,0,0.012222,0.159473,0.17725
896.4 ,0.166229,0.013841,0.153548,0.061477,2.92E-02
896.2 ,0.092429,0.074036,0.061645,0.109488,1.17E-01
896.0 ,0.050912,0.055692,0.035574,0.026231,1.55E-03
895.8 ,0.043362,0.049715,0.060429,0.007763,1.01E-01
895.6 ,0.018653,0.018673,0.023317,0.049822,7.78E-03
895.4 ,0.045432,0.081187,0.100212,0.006253,1.56E-03
895.2 ,0.004704,0.06274,0.026618,0.039202,8.15E-02
895.0 ,0.144482,0.124458,0.018884,0.133593,1.26E-02
894.8 ,0.050573,0.056897,0.012664,0.113808,1.58E-03
894.6 ,0.045929,0.026873,0.082192,0.134191,9.48E-02
894.4 ,0.076284,0.042865,0.1032,0,1.43E-02
894.2 ,0,0.019113,0.071692,0.093989,0.025539
894.0 ,0.051159,0.020815,0.116978,0.03682,3.84E-02
893.8 ,0.075382,0.025605,0.166699,0.065529,1.28E-01
893.6 ,0.014455,0.128707,0.064365,0.075568,0.058023
893.4 ,0.006442,0.136717,0.114411,0.012884,0.135668
893.2 ,0.017803,0.037213,0.098607,0.058282,1.78E-02
893.0 ,0.038985,0.006504,0.011362,0.060156,4.38E-02
892.8 ,0.019545,0.026016,0.030942,0.084783,2.77E-02
892.6 ,0.086609,0.150667,0.030999,0.03271,0.053935
892.4 ,0.067288,0.006577,0.044411,0.08054,1.57E-01
892.2 ,0.093885,0.065866,0.046098,0.092058,3.95E-02
892.0 ,0.033058,0.104396,0.014876,0.061189,3.81E-02
891.8 ,0.058117,0.07461,0.06139,0.053082,3.49E-02
891.6 ,0.021625,0.106465,0.079777,0.018327,1.66E-01
891.4 ,0.006675,0.140024,0.051694,0.08688,0.065114
891.2 ,0.067163,0.208514,0.013405,0.047001,1.68E-03
891.0 ,0.140863,0.100616,0.080408,0.114158,1.63E-01
890.8 ,0.001686,0.116435,0.074328,0.026973,1.95E-01
890.6 ,0.114981,0.047372,0.027058,0.03554,9.99E-02
890.4 ,0.062937,0.081585,0.042473,0.042495,1.14E-01
890.2 ,0.040939,0.027271,0.108976,0.116,8.87E-02
890.0 ,0.076817,0.109175,0.230673,0.047899,1.66E-01
889.8 ,0.178123,0.08233,0.001715,0.089247,2.74E-02
889.6 ,0.001721,0.061978,0.046409,0.022421,1.45E-01
889.4 ,0.03463,0.062323,0.062108,0.105611,2.42E-01
889.2 ,0.122946,0.020796,0.069141,0.076173,1.74E-01
889.0 ,0.111227,0.040073,0.151416,0.006967,2.72E-01
888.8 ,0.188457,0.118644,0.019219,0.096099,0.211951
888.6 ,0.223504,0.041923,0.125753,0.034978,4.68E-01
888.4 ,0.10579,0.19686,0.014059,0.132133,0.407774
888.2 ,0,0.146595,0.217363,0.111267,3.48E-01
888.0 ,0.079555,0.190867,0.214242,0.112945,0.403271
887.8 ,0.177403,0.210805,0.163179,0.232185,0.448656
887.6 ,0.336535,0.157029,0.126393,0.171173,7.07E-01
887.4 ,0.201969,0.359651,0.221721,0.130785,8.64E-01
887.2 ,0.236382,0.236804,0.389122,0.331661,8.18E-01
887.0 ,0.266534,0.246979,0.316004,0.243267,1.07274
886.8 ,0.541966,0.297754,0.476151,0.405867,1.10396
886.6 ,0.473413,0.45097,0.534389,0.376451,1.49E+00
886.4 ,0.616717,0.458997,0.602297,0.400318,1.71E+00
886.2 ,0.737151,0.737211,0.656588,0.499532,2.09678
886.0 ,0.701975,0.921865,0.844172,0.555854,2.62E+00
885.8 ,1.10891,0.97453,0.83896,0.853974,3.35339
885.6 ,1.04527,1.07177,1.05518,0.981036,3.85E+00
885.4 ,1.31109,1.01449,1.22536,1.01701,4.99E+00
885.2 ,1.45695,1.46322,1.56765,1.39631,6.14E+00
885.0 ,1.91271,1.87175,1.8514,1.72517,7.42E+00
884.8 ,2.28552,2.01088,2.28797,2.1951,9.31E+00
884.6 ,2.83997,2.53768,2.81619,2.51522,1.19E+01
884.4 ,3.49841,3.25509,3.31116,3.11643,14.6994
884.2 ,4.23367,4.11977,4.09679,4.05059,1.80E+01
884.0 ,5.21561,5.10482,5.17867,4.7564,22.4427
883.8 ,6.56281,6.14257,6.18931,5.93326,27.5375
883.6 ,8.12639,7.52692,7.81683,7.53392,3.34E+01
883.4 ,10.09,9.49091,9.4886,9.08103,40.0343
883.2 ,12.4155,11.9508,12.036,11.3937,4.79E+01
883.0 ,15.5211,14.4661,14.5759,13.9769,55.4466
882.8 ,19.1985,18.1414,18.552,17.3878,6.32E+01
882.6 ,23.7062,22.5797,22.9071,21.563,7.10E+01
882.4 ,28.804,27.3983,27.7486,26.263,7.79E+01
882.2 ,34.9352,33.3327,33.4605,31.9226,83.5521
882.0 ,41.4633,40.0394,40.0575,38.1387,8.86E+01
881.8 ,48.9215,47.2024,47.2358,45.0237,9.27E+01
881.6 ,56.5449,54.5019,54.7202,52.5829,9.51E+01
881.4 ,63.5948,62.0397,62.1103,59.8337,9.68E+01
881.2 ,70.8577,69.4303,69.2198,67.1891,9.84E+01
881.0 ,77.6206,76.3987,75.8944,74.1292,9.91E+01
880.8 ,83.1808,82.1255,81.7085,80.2918,9.93E+01
880.6 ,88.1015,86.9604,86.6878,85.6473,9.94E+01
880.4 ,91.4296,91.016,90.4119,89.4764,9.89E+01
880.2 ,94.4326,93.9779,93.4578,92.5872,9.93E+01
880.0 ,96.3114,96.0919,96.1627,95.5398,9.94E+01
879.8 ,97.4842,97.4916,97.1097,96.6063,9.92E+01
879.6 ,98.4451,98.5903,98.2346,97.9759,9.90E+01
879.4 ,98.9848,98.8995,98.7989,98.5561,9.91E+01
879.2 ,99.1878,99.2842,99.1903,99.0147,9.90E+01
879.0 ,99.4887,99.4394,99.4609,99.183,99.1952
878.8 ,99.582,99.2118,99.299,99.2742,99.0126
878.6 ,99.775,99.6645,99.4594,99.7166,9.95E+01
878.4 ,99.4794,99.3046,99.3739,99.3664,9.92E+01
878.2 ,99.4149,99.3273,99.2946,99.2395,9.96E+01
878.0 ,99.5143,99.347,99.079,99.3958,9.93E+01
877.8 ,99.4895,99.1355,99.3582,99.5696,9.94E+01
877.6 ,99.4686,99.2351,99.1229,99.5652,9.94E+01
877.4 ,99.345,99.1117,99.2031,99.0613,9.94E+01
877.2 ,99.5043,99.3142,99.5828,99.6068,99.5652
877.0 ,99.4564,99.358,99.4105,99.5327,9.97E+01
876.8 ,99.6253,99.5038,99.7769,99.6458,9.94E+01
876.6 ,99.1224,99.3242,99.1974,99.1807,9.91E+01
876.4 ,99.2963,99.2716,99.134,99.0264,99.1859
876.2 ,99.3394,99.2024,99.4238,99.5893,99.5328
876.0 ,99.1467,99.1935,99.3562,99.2615,99.2169
875.8 ,99.3033,99.3861,99.3041,99.4894,9.93E+01
875.6 ,99.254,99.0391,99.1787,99.0771,9.89E+01
875.4 ,98.9253,99.2395,99.1264,99.0198,9.93E+01
875.2 ,98.7437,99.2127,98.8078,99.194,9.91E+01
875.0 ,98.8985,99.1573,98.9203,98.8101,99.3743
874.8 ,98.9521,99.1957,99.0568,99.0733,9.90E+01
874.6 ,99.081,99.0954,98.9345,99.2253,99.3031
874.4 ,98.6753,98.7959,98.8799,98.9558,99.0347
874.2 ,98.9335,98.8785,98.7906,98.6258,9.94E+01
874.0 ,98.7579,98.9394,98.8038,98.9602,99.129
873.8 ,98.991,99.0479,98.9555,98.8864,9.97E+01
873.6 ,99.2034,99.2885,99.2023,99.0001,9.97E+01
873.4 ,98.9007,99.3014,99.1543,99.0571,9.94E+01
873.2 ,98.8442,98.9764,98.8649,99.1975,9.93E+01
873.0 ,99.0366,98.8617,99.0869,99.2763,9.96E+01
872.8 ,99.468,99.7175,99.7474,99.435,9.98E+01
872.6 ,99.3132,99.5456,99.2522,99.4534,9.97E+01
872.4 ,99.597,99.2602,99.5724,99.2066,9.95E+01
872.2 ,99.2106,99.4637,99.4071,99.2971,9.97E+01
872.0 ,99.4049,99.4999,99.6829,99.481,9.96E+01
871.8 ,99.1937,99.4414,99.2773,99.4806,9.95E+01
871.6 ,99.3264,99.5297,99.2433,99.495,9.93E+01
871.4 ,99.4711,99.5768,99.7445,99.6355,9.95E+01
871.2 ,99.4595,99.2229,99.4871,99.1918,9.92E+01
871.0 ,99.4258,99.3959,99.2655,99.5427,99.4757
870.8 ,99.5206,99.5939,99.7378,99.5727,9.97E+01
870.6 ,99.5543,99.4121,99.1442,99.4189,99.0498
870.4 ,99.1146,99.572,99.2267,99.3429,9.95E+01
870.2 ,99.4946,99.3114,99.0182,99.3255,9.95E+01
870.0 ,99.5615,99.3296,99.4639,99.4584,99.413
869.8 ,99.7294,99.5284,99.4604,99.8087,9.96E+01
869.6 ,99.19,99.5709,99.2012,99.3721,99.3265
869.4 ,98.9533,99.2725,99.2413,99.5385,9.95E+01
869.2 ,99.3375,99.422,99.279,99.3319,9.93E+01
869.0 ,99.1177,99.2355,99.1067,99.3425,9.95E+01
868.8 ,98.875,99.3924,98.6851,98.9156,9.92E+01
868.6 ,98.9955,99.2311,99.0598,99.0588,9.92E+01
868.4 ,98.9799,99.5694,99.3304,99.1716,9.94E+01
868.2 ,99.1173,99.1457,99.3611,99.2587,9.97E+01
868.0 ,99.3761,99.2705,99.2721,98.9014,99.6174
867.8 ,99.0586,99.121,98.6662,98.9805,9.92E+01
867.6 ,98.9888,99.0996,98.6164,98.7859,99.3428
867.4 ,99.0825,99.0624,98.7871,98.8523,9.96E+01
867.2 ,99.0993,99.3653,99.2964,99.035,9.94E+01
867.0 ,99.1214,99.2558,99.081,98.9416,9.95E+01
866.8 ,98.7744,98.9388,98.613,98.805,9.92E+01
866.6 ,99.3223,99.3312,99.1614,99.168,9.93E+01
866.4 ,98.839,99.0031,98.859,99.0662,9.96E+01
866.2 ,99.3017,98.97,99.2854,99.0341,99.6235
866.0 ,99.3256,99.5728,99.3081,99.493,9.95E+01
865.8 ,98.9046,99.0924,98.6112,98.4972,9.92E+01
865.6 ,99.3222,99.3627,98.9892,99.254,99.7529
865.4 ,99.3379,99.2727,99.1682,99.068,9.98E+01
865.2 ,99.2453,99.2836,99.1571,99.4365,9.93E+01
865.0 ,99.2688,99.2107,99.6419,98.9101,9.96E+01
864.8 ,99.5483,99.7493,99.4563,99.4095,9.97E+01
864.6 ,99.0572,99.2339,99.1972,99.1694,9.91E+01
864.4 ,99.2832,99.5549,99.5126,99.2154,9.97E+01
864.2 ,99.6114,99.4429,99.5675,99.4276,9.96E+01
864.0 ,98.9749,99.2884,99.0797,99.0393,9.91E+01
863.8 ,99.1729,99.1749,99.1551,99.1399,9.93E+01
863.6 ,99.3136,99.6827,99.494,99.5899,9.93E+01
863.4 ,99.3895,99.1951,99.2846,99.4191,9.96E+01
863.2 ,99.4353,99.5657,99.5824,99.2564,9.92E+01
863.0 ,99.2886,99.2494,99.0335,99.4052,9.94E+01
862.8 ,99.313,99.1865,99.3357,99.3488,9.92E+01
862.6 ,99.2585,99.5042,99.5351,99.5673,99.4209
862.4 ,99.4165,99.6586,99.3277,99.254,9.96E+01
862.2 ,98.8632,98.8518,98.9011,99.2916,9.94E+01
862.0 ,99.3338,99.3453,99.0678,98.837,99.0468
861.8 ,98.7996,98.5285,98.8171,98.7247,9.87E+01
861.6 ,99.1713,99.2823,99.2725,98.8533,9.92E+01
861.4 ,99.0869,99.0578,99.0577,98.9317,99.3193
861.2 ,99.3585,99.117,99.3767,99.1463,9.91E+01
861.0 ,99.2768,99.207,98.7664,99.2743,9.94E+01
860.8 ,99.0728,99.3967,99.1929,99.2292,9.95E+01
860.6 ,99.1921,99.3791,99.3614,99.3618,99.338
860.4 ,99.0067,98.8923,99.3416,99.2203,99.1035
860.2 ,99.3933,99.4086,99.4855,99.2811,9.97E+01
860.0 ,99.2619,99.1284,99.3343,99.3583,99.252
859.8 ,98.9757,99.0048,99.1868,99.1622,99.3241
859.6 ,99.1094,99.1795,99.1104,99.1115,9.97E+01
859.4 ,99.0835,99.1526,99.4769,99.2828,9.92E+01
859.2 ,99.3588,99.616,99.5445,99.4656,9.99E+01
859.0 ,99.1309,99.5358,99.639,99.3186,9.99E+01
858.8 ,98.8879,99.4486,99.1378,99.2037,9.92E+01
858.6 ,99.309,99.6988,99.6385,99.4435,99.179
858.4 ,99.1816,99.376,99.2759,99.5833,9.93E+01
858.2 ,99.3436,99.3097,99.4979,99.0527,9.88E+01
858.0 ,99.2306,99.6995,99.3696,99.6536,9.96E+01
857.8 ,99.4188,99.3426,99.5318,99.558,99.631
857.6 ,99.295,99.2639,99.3048,99.5499,9.92E+01
857.4 ,99.0609,99.392,99.0867,99.1936,9.91E+01
857.2 ,99.8053,99.3876,99.665,99.7251,9.96E+01
857.0 ,99.5782,99.4971,99.3528,99.6242,9.92E+01
856.8 ,99.6015,99.6625,99.3974,99.5093,9.92E+01
856.6 ,99.3858,99.0442,99.1025,99.4049,99.2859
856.4 ,99.239,98.9368,99.3085,99.0854,9.89E+01
856.2 ,99.018,99.1077,98.8241,99.0754,9.89E+01
856.0 ,99.1319,99.0244,99.4439,99.2442,9.91E+01
855.8 ,99.3772,99.2212,99.363,99.4725,9.92E+01
855.6 ,99.3337,99.2166,99.2711,99.5769,9.94E+01
