BJD TDB,Target Relative Flux,Error
2459924.9502319,11.76166999962902,6.655156416911013
2459924.9510075,7.998015667180836,5.319536270665991
2459924.9517828,3.763929299631652,6.96069740236854
2459924.9525583,5.880730608092799,8.019742097621334
2459924.9533337,8.566222485086206,6.971850849588599
2459924.9541093,7.73197445715379,3.9083533132729102
2459924.9548849,7.6752647316062905,6.5706221008585874
2459924.9556604,6.504371968376166,4.280585681607194
2459924.9564359,7.1480463186885945,4.322048212722498
2459924.9572114,5.561440320395183,2.6656182658984324
2459924.9579868,7.255393653572639,3.7402318042965663
2459924.9587625,7.379333708815938,4.328935525095851
2459924.9595379,7.247263342654353,3.420379268305093
2459924.9603134,7.427264972115655,3.6003190668312843
2459924.9610889,8.013778059525523,3.583745479515707
2459924.9618646,7.9911344654663985,1.994743162146878
2459924.9626399,5.1590943633152975,3.8586576637431285
2459924.9634155,7.852926602996968,2.815344106882403
2459924.964191,6.424977955210132,2.536522070415884
2459924.9649666,4.478106836905971,3.8445866975701
2459924.9657538,6.227057240109968,2.8941418967827013
2459924.9673049,4.112603525809666,3.194801862873938
2459924.968092,4.64765538630707,4.110968099167369
2459924.9688676,6.001860420585148,2.2209497210221616
2459924.9696432,6.423470116600605,4.25634943286069
2459924.9704187,3.7470854517609453,6.229420352248299
2459924.9712055,4.883184752201286,3.0576151616580147
2459924.971981,5.349120643219241,3.9093778342372603
2459924.9727567,4.428043464189457,2.4950476897756677
2459924.9735321,7.033804901296126,4.4354472591305125
2459924.9743192,6.627921365248479,4.454976809002407
2459924.9750947,5.185945800925573,3.3518720820075556
2459924.9758702,5.661764706291761,3.8788222708261055
2459924.9766457,5.475462564528355,3.6526906195252424
2459924.9774213,5.284646314611896,1.482898906740492
2459924.978197,3.1576444833329997,3.724775567683476
2459924.9789722,7.447800184316566,2.776601579048313
2459924.9797478,6.100866906191049,3.157865046998847
2459924.9805234,3.8001861744558774,2.474451952493489
2459924.9812988,5.657664972963383,1.653527224496867
2459924.9820742,4.826383689119806,3.0735201771280085
2459924.98285,5.479161815003852,3.2226425419120295
2459924.9836254,6.642092660866794,2.648480379477208
2459924.9844009,4.906382327696912,2.239358813753059
2459924.9851765,4.059293411638576,4.093257193453589
2459924.985952,2.8024287218919586,2.154901044572493
2459924.9867276,7.275768346494793,2.475339586848418
2459924.9875031,4.5107271790714165,2.36753324561555
2459924.9882786,4.372534340379541,3.766521387203832
2459924.9890542,4.501530848605384,4.022057853998402
2459924.9898297,4.160606102651121,4.179258414327092
2459924.9906052,6.469906436276984,1.764823386156603
2459924.9913807,3.4329672059199012,2.4990695111068435
2459924.9921564,7.047900883828229,3.663266681132393
2459924.9929319,4.043091111644914,3.516916431919288
2459924.9937074,3.4882922162442487,2.8010057561051727
2459924.9944828,4.586934114629404,3.2104529466642187
2459924.9952584,4.901140172674845,3.309526531206282
2459924.9960338,4.305596116323418,2.4085908587556686
2459924.9968094,4.421047638463627,3.8236879284525194
2459924.997585,4.525093356851251,4.751540041276501
2459924.9983605,3.9623207140069283,3.3585533857018195
