BJD TDB,Target Relative Flux,Error
2459924.950217,5.943407803763234,7.879239561989601
2459924.950992,5.868982790573796,7.369766383931474
2459924.951768,4.350489797970258,3.331539706433979
2459924.952543,4.659080325465581,6.975965354155647
2459924.953319,6.118358518069744,2.5727648731592825
2459924.954094,6.566439984741823,7.35326412293697
2459924.95487,4.454968905228673,6.161321663377179
2459924.955645,2.751750504743855,5.9951869642647955
2459924.956421,6.5465735560361615,5.422989446495454
2459924.957197,7.511874638576721,3.404877788435141
2459924.957972,6.967609864409363,3.9394562242964763
2459924.958748,6.716175706135363,3.7817976867631313
2459924.959523,6.031993430444471,6.749293173632105
2459924.960299,5.940821096742432,4.355136263100163
2459924.961074,6.624706568927108,3.1811333496597305
2459924.96185,7.10267988396307,5.159500241105217
2459924.962625,6.043806713741162,3.560630170881331
2459924.963401,6.744445513664488,5.742027653924046
2459924.964176,8.404676534270683,3.1160927406377135
2459924.964952,5.12306948584107,4.315616276841413
2459924.965739,6.75622630448558,5.904197036996331
2459924.96729,4.807683715120303,7.224402471968244
2459924.968077,4.017796920819494,5.698900956970207
2459924.968853,5.5528564009086345,4.138785696384955
2459924.969628,7.902569147677507,4.704649233707313
2459924.970404,6.1951926896761655,6.185174479266576
2459924.971191,5.712053105919823,4.705434644801749
2459924.971966,5.517502999165869,5.147580895451003
2459924.972742,2.600511009032136,5.282493867821512
2459924.973517,7.974845065932268,4.505917367793499
2459924.974304,7.817049097732509,5.481978282296934
2459924.97508,6.276947157779933,4.3118472593589745
2459924.975855,6.245015419988453,2.675738702579021
2459924.976631,5.955653839178066,2.8469242163694464
2459924.977406,4.631565103669466,3.0621519205542542
2459924.978182,4.294478360224785,3.3700341277112624
2459924.978957,7.980653854082309,2.4422998379003173
2459924.979733,7.302655054626461,2.484585728698947
2459924.980509,5.666121006303149,3.7587368943109762
2459924.981284,7.737203036856322,3.612494284694218
2459924.98206,5.250296752237871,4.193825891923381
2459924.982835,7.718107210474168,5.393787216490389
2459924.983611,7.608847602891267,4.756338334697333
2459924.984386,4.912725782326266,2.7534572059833873
2459924.985162,4.09423620159699,3.3757640945232823
2459924.985937,5.14342130167722,2.38480678947148
2459924.986713,4.422258758029152,2.917417019281151
2459924.988264,3.3187527795452976,3.6461943157764045
2459924.989039,3.7590280329304893,4.786735306869992
2459924.989815,5.776972722058682,3.86178463096649
2459924.99059,5.8088129055553495,2.1202686197238902
2459924.991366,4.875681218523997,3.7324043324421683
2459924.992142,6.203813476408193,3.4049107646569707
